pclass,sex,age,Class
1,female,29.0,First
1,male,0.9167,First
1,female,2.0,First
1,male,30.0,First
1,female,25.0,First
1,male,48.0,First
1,female,63.0,First
1,male,39.0,First
1,female,53.0,First
1,male,71.0,First
1,male,47.0,First
1,female,18.0,First
1,female,24.0,First
1,female,26.0,First
1,male,80.0,First
1,male,,First
1,male,24.0,First
1,female,50.0,First
1,female,32.0,First
1,male,36.0,First
1,male,37.0,First
1,female,47.0,First
1,male,26.0,First
1,female,42.0,First
1,female,29.0,First
1,male,25.0,First
1,male,25.0,First
1,female,19.0,First
1,female,35.0,First
1,male,28.0,First
1,male,45.0,First
1,male,40.0,First
1,female,30.0,First
1,female,58.0,First
1,male,42.0,First
1,female,45.0,First
1,female,22.0,First
1,male,,First
1,male,41.0,First
1,male,48.0,First
1,male,,First
1,female,44.0,First
1,female,59.0,First
1,female,60.0,First
1,female,41.0,First
1,male,45.0,First
1,male,,First
1,male,42.0,First
1,female,53.0,First
1,male,36.0,First
1,female,58.0,First
1,male,33.0,First
1,male,28.0,First
1,male,17.0,First
1,male,11.0,First
1,female,14.0,First
1,male,36.0,First
1,female,36.0,First
1,male,49.0,First
1,female,,First
1,male,36.0,First
1,female,76.0,First
1,male,46.0,First
1,female,47.0,First
1,male,27.0,First
1,female,33.0,First
1,female,36.0,First
1,female,30.0,First
1,male,45.0,First
1,female,,First
1,male,,First
1,male,27.0,First
1,female,26.0,First
1,female,22.0,First
1,male,,First
1,male,47.0,First
1,female,39.0,First
1,male,37.0,First
1,female,64.0,First
1,female,55.0,First
1,male,,First
1,male,70.0,First
1,female,36.0,First
1,female,64.0,First
1,male,39.0,First
1,female,38.0,First
1,male,51.0,First
1,male,27.0,First
1,female,33.0,First
1,male,31.0,First
1,female,27.0,First
1,male,31.0,First
1,female,17.0,First
1,male,53.0,First
1,male,4.0,First
1,female,54.0,First
1,male,50.0,First
1,female,27.0,First
1,female,48.0,First
1,female,48.0,First
1,male,49.0,First
1,male,39.0,First
1,female,23.0,First
1,female,38.0,First
1,female,54.0,First
1,female,36.0,First
1,male,,First
1,female,,First
1,female,,First
1,male,36.0,First
1,male,30.0,First
1,female,24.0,First
1,female,28.0,First
1,female,23.0,First
1,male,19.0,First
1,male,64.0,First
1,female,60.0,First
1,female,30.0,First
1,male,,First
1,male,50.0,First
1,male,43.0,First
1,female,,First
1,female,22.0,First
1,male,60.0,First
1,female,48.0,First
1,male,,First
1,male,37.0,First
1,female,35.0,First
1,male,47.0,First
1,female,35.0,First
1,female,22.0,First
1,female,45.0,First
1,male,24.0,First
1,male,49.0,First
1,female,,First
1,male,71.0,First
1,male,53.0,First
1,female,19.0,First
1,male,38.0,First
1,female,58.0,First
1,male,23.0,First
1,female,45.0,First
1,male,46.0,First
1,male,25.0,First
1,female,25.0,First
1,male,48.0,First
1,female,49.0,First
1,male,,First
1,male,45.0,First
1,female,35.0,First
1,male,40.0,First
1,male,27.0,First
1,male,,First
1,female,24.0,First
1,male,55.0,First
1,female,52.0,First
1,male,42.0,First
1,male,,First
1,male,55.0,First
1,female,16.0,First
1,female,44.0,First
1,female,51.0,First
1,male,42.0,First
1,female,35.0,First
1,male,35.0,First
1,male,38.0,First
1,male,,First
1,female,35.0,First
1,female,38.0,First
1,female,50.0,First
1,male,49.0,First
1,male,46.0,First
1,male,50.0,First
1,male,32.5,First
1,male,58.0,First
1,male,41.0,First
1,female,,First
1,male,42.0,First
1,female,45.0,First
1,male,,First
